fips_code,age_group,population
1001,0-4,3217
1001,5-11,5254
1001,12-15,3018
1001,16-17,1716
1001,18-24,4808
1001,25-39,10971
1001,40-49,7280
1001,50-64,10833
1001,65-74,4818
1001,75-99,3465
1003,0-4,11689
1003,5-11,17763
1003,12-15,11299
1003,16-17,5484
1003,18-24,15483
1003,25-39,37175
1003,40-49,26637
1003,50-64,44769
1003,65-74,25739
1003,75-99,16792
1005,0-4,1349
1005,5-11,2191
1005,12-15,1158
1005,16-17,609
1005,18-24,2090
1005,25-39,5146
1005,40-49,3168
1005,50-64,4940
1005,65-74,2844
1005,75-99,1866
1007,0-4,1315
1007,5-11,1672
1007,12-15,1001
1007,16-17,643
1007,18-24,1694
1007,25-39,4725
1007,40-49,3262
1007,50-64,4597
1007,65-74,2098
1007,75-99,1486
1009,0-4,3432
1009,5-11,5204
1009,12-15,3198
1009,16-17,1555
1009,18-24,4501
1009,25-39,10005
1009,40-49,8051
1009,50-64,11409
1009,65-74,6111
1009,75-99,4215
1011,0-4,542
1011,5-11,860
1011,12-15,464
1011,16-17,263
1011,18-24,1019
1011,25-39,1937
1011,40-49,1464
1011,50-64,2060
1011,65-74,1020
1011,75-99,620
1013,0-4,1149
1013,5-11,1773
1013,12-15,992
1013,16-17,541
1013,18-24,1554
1013,25-39,3665
1013,40-49,2248
1013,50-64,4006
1013,65-74,2288
1013,75-99,1612
1015,0-4,6608
1015,5-11,9479
1015,12-15,5815
1015,16-17,3051
1015,18-24,10558
1015,25-39,22383
1015,40-49,13479
1015,50-64,23508
1015,65-74,11727
1015,75-99,8011
1017,0-4,2043
1017,5-11,2605
1017,12-15,1616
1017,16-17,801
1017,18-24,2806
1017,25-39,6200
1017,40-49,4008
1017,50-64,7111
1017,65-74,3958
1017,75-99,2512
1019,0-4,1187
1019,5-11,2050
1019,12-15,1265
1019,16-17,743
1019,18-24,1784
1019,25-39,3971
1019,40-49,3086
1019,50-64,6006
1019,65-74,3511
1019,75-99,2300
1021,0-4,2759
1021,5-11,4288
1021,12-15,2259
1021,16-17,1329
1021,18-24,3374
1021,25-39,8586
1021,40-49,5892
1021,50-64,8516
1021,65-74,4152
1021,75-99,2900
1023,0-4,679
1023,5-11,948
1023,12-15,645
1023,16-17,331
1023,18-24,993
1023,25-39,1949
1023,40-49,1542
1023,50-64,2916
1023,65-74,1660
1023,75-99,1262
1025,0-4,1377
1025,5-11,1949
1025,12-15,1283
1025,16-17,678
1025,18-24,2071
1025,25-39,4067
1025,40-49,2919
1025,50-64,5105
1025,65-74,2583
1025,75-99,2096
1027,0-4,680
1027,5-11,1065
1027,12-15,732
1027,16-17,301
1027,18-24,1100
1027,25-39,2296
1027,40-49,1560
1027,50-64,2905
1027,65-74,1539
1027,75-99,1159
1029,0-4,849
1029,5-11,1450
1029,12-15,695
1029,16-17,389
1029,18-24,1052
1029,25-39,2514
1029,40-49,2109
1029,50-64,2959
1029,65-74,1696
1029,75-99,1203
1031,0-4,3207
1031,5-11,4760
1031,12-15,2884
1031,16-17,1408
1031,18-24,4110
1031,25-39,10077
1031,40-49,6663
1031,50-64,10003
1031,65-74,4976
1031,75-99,3574
1033,0-4,3139
1033,5-11,4528
1033,12-15,2529
1033,16-17,1357
1033,18-24,4259
1033,25-39,9927
1033,40-49,6847
1033,50-64,11541
1033,65-74,6055
1033,75-99,4589
1035,0-4,700
1035,5-11,1055
1035,12-15,542
1035,16-17,307
1035,18-24,957
1035,25-39,2084
1035,40-49,1289
1035,50-64,2714
1035,65-74,1708
1035,75-99,1038
1037,0-4,364
1037,5-11,706
1037,12-15,510
1037,16-17,221
1037,18-24,697
1037,25-39,1575
1037,40-49,1527
1037,50-64,2727
1037,65-74,1373
1037,75-99,1057
1039,0-4,2165
1039,5-11,3282
1039,12-15,1762
1039,16-17,954
1039,18-24,2713
1039,25-39,6533
1039,40-49,4161
1039,50-64,7904
1039,65-74,4269
1039,75-99,3457
1041,0-4,788
1041,5-11,1218
1041,12-15,733
1041,16-17,367
1041,18-24,1048
